string,int,int,#units,{true;false},{missing;basic},kEUR/h/unit_on,{true;false},[p.u.],{true;false},[p.u.],[p.u.]
name,year,partition,initial_units,unit_commitment,unit_commitment_method,units_on_cost,unit_commitment_integer,min_operating_point,ramping,max_ramp_up,max_ramp_down
SK_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
SK_Coal,2050,4,1,FALSE,,,FALSE,,FALSE,,
SK_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
LT_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
LT_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
LT_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
LT_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
LT_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
LT_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
LV_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
LV_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
LV_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
LV_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
LV_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
LV_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
EE_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
EE_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
EE_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
EE_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
FI_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
FI_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
FI_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
FI_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
FI_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
FI_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
FI_OCGT,2050,4,1,FALSE,,,FALSE,,FALSE,,
HR_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
HR_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
HR_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
HR_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
HR_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
HR_Coal,2050,4,1,FALSE,,,FALSE,,FALSE,,
HR_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
GR_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
GR_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
GR_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
GR_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
GR_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
GR_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
GR_OCGT,2050,4,1,FALSE,,,FALSE,,FALSE,,
BG_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
BG_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
BG_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
BG_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
BG_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
BG_Coal,2050,4,1,FALSE,,,FALSE,,FALSE,,
BG_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
BG_OCGT,2050,4,1,FALSE,,,FALSE,,FALSE,,
RO_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
RO_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
RO_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
RO_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
RO_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
RO_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
RO_Coal,2050,4,1,FALSE,,,FALSE,,FALSE,,
RO_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
RO_OCGT,2050,4,1,FALSE,,,FALSE,,FALSE,,
CY_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
CY_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
CY_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
CY_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
OBZLL_Wind_Offshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
EU_SMR_CCS,2050,1,1,FALSE,,,FALSE,,FALSE,,
