string,string,MW,string,degrees,degrees
name,type,capacity,technology,lat,lon
LT_Solar,producer,7576,Solar,55.1694,23.8813
LT_Hydro,producer,126,Hydro,55.1694,23.8813
LT_Gas,producer,293,Gas,55.1694,23.8813
LV_E_ENS,producer,2112.9151,ENS,56.8796,24.6032
LV_Wind_Onshore,producer,352,Wind_Onshore,56.8796,24.6032
LV_Wind_Offshore,producer,7500,Wind_Offshore,56.8796,24.6032
LV_Solar,producer,605,Solar,56.8796,24.6032
LV_Hydro,producer,0,Hydro,56.8796,24.6032
LV_Gas,producer,73,Gas,56.8796,24.6032
EE_E_ENS,producer,2493.6576,ENS,58.5953,25.0136
EE_Wind_Onshore,producer,861,Wind_Onshore,58.5953,25.0136
EE_Wind_Offshore,producer,6999,Wind_Offshore,58.5953,25.0136
EE_Solar,producer,3520,Solar,58.5953,25.0136
FI_E_ENS,producer,20200.0318,ENS,61.9241,25.7482
FI_Wind_Onshore,producer,87909,Wind_Onshore,61.9241,25.7482
FI_Wind_Offshore,producer,12000,Wind_Offshore,61.9241,25.7482
FI_Solar,producer,47767,Solar,61.9241,25.7482
FI_Nuclear,producer,10000,Nuclear,61.9241,25.7482
FI_Gas,producer,234,Gas,61.9241,25.7482
FI_OCGT,producer,87,Gas,61.9241,25.7482
HR_E_ENS,producer,3695.2681,ENS,45.1,15.2
HR_Wind_Onshore,producer,3000,Wind_Onshore,45.1,15.2
HR_Wind_Offshore,producer,2896,Wind_Offshore,45.1,15.2
HR_Solar,producer,3188,Solar,45.1,15.2
HR_Hydro,producer,2011,Hydro,45.1,15.2
HR_Coal,producer,0,Coal,45.1,15.2
HR_Gas,producer,0,Gas,45.1,15.2
GR_E_ENS,producer,14331.0508,ENS,39.0742,21.8243
GR_Wind_Onshore,producer,27500,Wind_Onshore,39.0742,21.8243
GR_Wind_Offshore,producer,17500,Wind_Offshore,39.0742,21.8243
GR_Solar,producer,46500,Solar,39.0742,21.8243
GR_Hydro,producer,3522,Hydro,39.0742,21.8243
GR_Gas,producer,5037,Gas,39.0742,21.8243
GR_OCGT,producer,0,Gas,39.0742,21.8243
BG_E_ENS,producer,6792.4289,ENS,42.7339,25.4858
BG_Wind_Onshore,producer,9000,Wind_Onshore,42.7339,25.4858
BG_Solar,producer,9110,Solar,42.7339,25.4858
BG_Hydro,producer,1817,Hydro,42.7339,25.4858
BG_Nuclear,producer,2000,Nuclear,42.7339,25.4858
BG_Coal,producer,1004,Coal,42.7339,25.4858
BG_Gas,producer,2315,Gas,42.7339,25.4858
BG_OCGT,producer,20,Gas,42.7339,25.4858
RO_E_ENS,producer,14269.1448,ENS,45.9432,24.9668
RO_Wind_Onshore,producer,9000,Wind_Onshore,45.9432,24.9668
RO_Wind_Offshore,producer,1000,Wind_Offshore,45.9432,24.9668
RO_Solar,producer,34194,Solar,45.9432,24.9668
RO_Hydro,producer,5958,Hydro,45.9432,24.9668
RO_Nuclear,producer,3087,Nuclear,45.9432,24.9668
RO_Coal,producer,0,Coal,45.9432,24.9668
RO_Gas,producer,5840,Gas,45.9432,24.9668
RO_OCGT,producer,167,Gas,45.9432,24.9668
CY_E_ENS,producer,1269.453,ENS,35.1264,33.4299
CY_Wind_Onshore,producer,400,Wind_Onshore,35.1264,33.4299
CY_Solar,producer,2273,Solar,35.1264,33.4299
