,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,active,year,commission_year,investable,investment_integer,investment_limit,initial_units,peak_demand,consumer_balance_sense,is_seasonal,storage_inflows,initial_storage_units,initial_storage_level,energy_to_power_ratio,storage_method_energy,investment_limit_storage_energy,investment_integer_storage_energy,use_binary_storage_method,max_energy_timeframe_partition,min_energy_timeframe_partition,unit_commitment,unit_commitment_method,units_on_cost,unit_commitment_integer,min_operating_point,ramping,max_ramp_up,max_ramp_down
UK_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
UK_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IE_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IE_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IE_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IE_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IE_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IE_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IE_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CH_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CH_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CH_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CH_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CH_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
AT_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
AT_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
AT_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
AT_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
AT_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
LU_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
LU_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
LU_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
LU_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CZ_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CZ_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CZ_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CZ_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CZ_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CZ_Coal,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CZ_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PL_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PL_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PL_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PL_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PL_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PL_Coal,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PL_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SE_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SE_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SE_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SE_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SE_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SE_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SE_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NO_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NO_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NO_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NO_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
ES_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
ES_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
ES_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
ES_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
ES_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
ES_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
ES_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PT_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PT_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PT_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PT_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PT_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PT_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IT_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IT_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IT_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IT_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IT_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IT_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IT_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
MT_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
MT_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
MT_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_Coal,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HU_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HU_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HU_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HU_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HU_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HU_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HU_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
