,,,,,,,,,,,,,
name,type,group,investment_method,capacity,technical_lifetime,economic_lifetime,discount_rate,capacity_storage_energy,country,technology,lat,lon
DE_Solar,producer,,none,96140.0,1.0,1.0,0.0,0.0,DE,Solar,51.1657,10.4515
DE_Hydro,producer,,none,15055.0,1.0,1.0,0.0,0.0,DE,Hydro,51.1657,10.4515
DE_Coal,producer,,none,17042.0,1.0,1.0,0.0,0.0,DE,Coal,51.1657,10.4515
DE_Gas,producer,,none,25898.0,1.0,1.0,0.0,0.0,DE,Gas,51.1657,10.4515
DE_OCGT,producer,,none,2613.0,1.0,1.0,0.0,0.0,DE,OCGT,51.1657,10.4515
FR_E_ENS,producer,,none,85861.0,1.0,1.0,0.0,0.0,FR,E_ENS,46.6034,1.8883
FR_Wind_Onshore,producer,,none,35929.0,1.0,1.0,0.0,0.0,FR,Wind_Onshore,46.6034,1.8883
FR_Wind_Offshore,producer,,none,5500.0,1.0,1.0,0.0,0.0,FR,Wind_Offshore,46.6034,1.8883
FR_Solar,producer,,none,43441.0,1.0,1.0,0.0,0.0,FR,Solar,46.6034,1.8883
FR_Hydro,producer,,none,13600.0,1.0,1.0,0.0,0.0,FR,Hydro,46.6034,1.8883
FR_Nuclear,producer,,none,59110.0,1.0,1.0,0.0,0.0,FR,Nuclear,46.6034,1.8883
FR_Gas,producer,,none,7189.0,1.0,1.0,0.0,0.0,FR,Gas,46.6034,1.8883
FR_OCGT,producer,,none,2613.0,1.0,1.0,0.0,0.0,FR,OCGT,46.6034,1.8883
DK_E_ENS,producer,,none,9633.0,1.0,1.0,0.0,0.0,DK,E_ENS,56.2639,9.5018
DK_Wind_Onshore,producer,,none,6157.0,1.0,1.0,0.0,0.0,DK,Wind_Onshore,56.2639,9.5018
DK_Wind_Offshore,producer,,none,6830.0,1.0,1.0,0.0,0.0,DK,Wind_Offshore,56.2639,9.5018
DK_Solar,producer,,none,6467.0,1.0,1.0,0.0,0.0,DK,Solar,56.2639,9.5018
DK_Gas,producer,,none,1324.0,1.0,1.0,0.0,0.0,DK,Gas,56.2639,9.5018
DK_OCGT,producer,,none,154.0,1.0,1.0,0.0,0.0,DK,OCGT,56.2639,9.5018
UK_E_ENS,producer,,none,61936.0,1.0,1.0,0.0,0.0,UK,E_ENS,55.3781,-3.436
UK_Wind_Onshore,producer,,none,26590.0,1.0,1.0,0.0,0.0,UK,Wind_Onshore,55.3781,-3.436
UK_Wind_Offshore,producer,,none,34750.0,1.0,1.0,0.0,0.0,UK,Wind_Offshore,55.3781,-3.436
UK_Solar,producer,,none,23408.0,1.0,1.0,0.0,0.0,UK,Solar,55.3781,-3.436
UK_Hydro,producer,,none,4839.0,1.0,1.0,0.0,0.0,UK,Hydro,55.3781,-3.436
UK_Nuclear,producer,,none,9328.0,1.0,1.0,0.0,0.0,UK,Nuclear,55.3781,-3.436
UK_Gas,producer,,none,19802.0,1.0,1.0,0.0,0.0,UK,Gas,55.3781,-3.436
UK_OCGT,producer,,none,817.0,1.0,1.0,0.0,0.0,UK,OCGT,55.3781,-3.436
IE_E_ENS,producer,,none,6280.0,1.0,1.0,0.0,0.0,IE,E_ENS,53.1424,-7.6921
IE_Wind_Onshore,producer,,none,5800.0,1.0,1.0,0.0,0.0,IE,Wind_Onshore,53.1424,-7.6921
IE_Wind_Offshore,producer,,none,3500.0,1.0,1.0,0.0,0.0,IE,Wind_Offshore,53.1424,-7.6921
IE_Solar,producer,,none,600.0,1.0,1.0,0.0,0.0,IE,Solar,53.1424,-7.6921
IE_Hydro,producer,,none,508.0,1.0,1.0,0.0,0.0,IE,Hydro,53.1424,-7.6921
IE_Gas,producer,,none,4109.0,1.0,1.0,0.0,0.0,IE,Gas,53.1424,-7.6921
IE_OCGT,producer,,none,446.0,1.0,1.0,0.0,0.0,IE,OCGT,53.1424,-7.6921
CH_E_ENS,producer,,none,10383.0,1.0,1.0,0.0,0.0,CH,E_ENS,46.8182,8.2275
CH_Wind_Onshore,producer,,none,300.0,1.0,1.0,0.0,0.0,CH,Wind_Onshore,46.8182,8.2275
CH_Solar,producer,,none,9800.0,1.0,1.0,0.0,0.0,CH,Solar,46.8182,8.2275
CH_Hydro,producer,,none,17100.0,1.0,1.0,0.0,0.0,CH,Hydro,46.8182,8.2275
CH_Nuclear,producer,,none,1190.0,1.0,1.0,0.0,0.0,CH,Nuclear,46.8182,8.2275
AT_E_ENS,producer,,none,13428.0,1.0,1.0,0.0,0.0,AT,E_ENS,47.5162,14.5501
AT_Wind_Onshore,producer,,none,9000.0,1.0,1.0,0.0,0.0,AT,Wind_Onshore,47.5162,14.5501
AT_Solar,producer,,none,12000.0,1.0,1.0,0.0,0.0,AT,Solar,47.5162,14.5501
AT_Hydro,producer,,none,12190.0,1.0,1.0,0.0,0.0,AT,Hydro,47.5162,14.5501
AT_Gas,producer,,none,3129.0,1.0,1.0,0.0,0.0,AT,Gas,47.5162,14.5501
LU_E_ENS,producer,,none,1272.0,1.0,1.0,0.0,0.0,LU,E_ENS,49.8153,6.1296
LU_Wind_Onshore,producer,,none,400.0,1.0,1.0,0.0,0.0,LU,Wind_Onshore,49.8153,6.1296
LU_Solar,producer,,none,608.0,1.0,1.0,0.0,0.0,LU,Solar,49.8153,6.1296
LU_Hydro,producer,,none,42.0,1.0,1.0,0.0,0.0,LU,Hydro,49.8153,6.1296
CZ_E_ENS,producer,,none,11417.0,1.0,1.0,0.0,0.0,CZ,E_ENS,49.8175,15.473
CZ_Wind_Onshore,producer,,none,742.0,1.0,1.0,0.0,0.0,CZ,Wind_Onshore,49.8175,15.473
CZ_Solar,producer,,none,8159.0,1.0,1.0,0.0,0.0,CZ,Solar,49.8175,15.473
CZ_Hydro,producer,,none,432.0,1.0,1.0,0.0,0.0,CZ,Hydro,49.8175,15.473
CZ_Nuclear,producer,,none,4047.0,1.0,1.0,0.0,0.0,CZ,Nuclear,49.8175,15.473
CZ_Coal,producer,,none,2850.0,1.0,1.0,0.0,0.0,CZ,Coal,49.8175,15.473
CZ_Gas,producer,,none,4036.0,1.0,1.0,0.0,0.0,CZ,Gas,49.8175,15.473
PL_E_ENS,producer,,none,27889.0,1.0,1.0,0.0,0.0,PL,E_ENS,51.9194,19.1451
PL_Wind_Onshore,producer,,none,8663.0,1.0,1.0,0.0,0.0,PL,Wind_Onshore,51.9194,19.1451
PL_Wind_Offshore,producer,,none,5900.0,1.0,1.0,0.0,0.0,PL,Wind_Offshore,51.9194,19.1451
PL_Solar,producer,,none,5114.0,1.0,1.0,0.0,0.0,PL,Solar,51.9194,19.1451
PL_Hydro,producer,,none,518.0,1.0,1.0,0.0,0.0,PL,Hydro,51.9194,19.1451
PL_Coal,producer,,none,19056.0,1.0,1.0,0.0,0.0,PL,Coal,51.9194,19.1451
PL_Gas,producer,,none,4689.0,1.0,1.0,0.0,0.0,PL,Gas,51.9194,19.1451
SE_E_ENS,producer,,none,24623.0,1.0,1.0,0.0,0.0,SE,E_ENS,60.1282,18.6435
SE_Wind_Onshore,producer,,none,16901.0,1.0,1.0,0.0,0.0,SE,Wind_Onshore,60.1282,18.6435
SE_Wind_Offshore,producer,,none,5000.0,1.0,1.0,0.0,0.0,SE,Wind_Offshore,60.1282,18.6435
SE_Solar,producer,,none,7339.0,1.0,1.0,0.0,0.0,SE,Solar,60.1282,18.6435
SE_Nuclear,producer,,none,5114.0,1.0,1.0,0.0,0.0,SE,Nuclear,60.1282,18.6435
SE_Gas,producer,,none,111.0,1.0,1.0,0.0,0.0,SE,Gas,60.1282,18.6435
SE_OCGT,producer,,none,111.0,1.0,1.0,0.0,0.0,SE,OCGT,60.1282,18.6435
NO_E_ENS,producer,,none,27028.0,1.0,1.0,0.0,0.0,NO,E_ENS,60.472,8.4689
NO_Wind_Onshore,producer,,none,6060.0,1.0,1.0,0.0,0.0,NO,Wind_Onshore,60.472,8.4689
NO_Wind_Offshore,producer,,none,200.0,1.0,1.0,0.0,0.0,NO,Wind_Offshore,60.472,8.4689
NO_Solar,producer,,none,600.0,1.0,1.0,0.0,0.0,NO,Solar,60.472,8.4689
ES_E_ENS,producer,,none,44844.0,1.0,1.0,0.0,0.0,ES,E_ENS,40.4637,-3.7492
ES_Wind_Onshore,producer,,none,48350.0,1.0,1.0,0.0,0.0,ES,Wind_Onshore,40.4637,-3.7492
ES_Wind_Offshore,producer,,none,200.0,1.0,1.0,0.0,0.0,ES,Wind_Offshore,40.4637,-3.7492
ES_Solar,producer,,none,45704.0,1.0,1.0,0.0,0.0,ES,Solar,40.4637,-3.7492
ES_Hydro,producer,,none,3640.0,1.0,1.0,0.0,0.0,ES,Hydro,40.4637,-3.7492
ES_Nuclear,producer,,none,3041.0,1.0,1.0,0.0,0.0,ES,Nuclear,40.4637,-3.7492
ES_Gas,producer,,none,24499.0,1.0,1.0,0.0,0.0,ES,Gas,40.4637,-3.7492
PT_E_ENS,producer,,none,9030.0,1.0,1.0,0.0,0.0,PT,E_ENS,39.3999,-8.2245
PT_Wind_Onshore,producer,,none,8901.0,1.0,1.0,0.0,0.0,PT,Wind_Onshore,39.3999,-8.2245
PT_Wind_Offshore,producer,,none,260.0,1.0,1.0,0.0,0.0,PT,Wind_Offshore,39.3999,-8.2245
PT_Solar,producer,,none,7761.0,1.0,1.0,0.0,0.0,PT,Solar,39.3999,-8.2245
PT_Hydro,producer,,none,793.0,1.0,1.0,0.0,0.0,PT,Hydro,39.3999,-8.2245
PT_Gas,producer,,none,2839.0,1.0,1.0,0.0,0.0,PT,Gas,39.3999,-8.2245
IT_E_ENS,producer,,none,62099.0,1.0,1.0,0.0,0.0,IT,E_ENS,41.8719,12.5674
IT_Wind_Onshore,producer,,none,18400.0,1.0,1.0,0.0,0.0,IT,Wind_Onshore,41.8719,12.5674
IT_Wind_Offshore,producer,,none,900.0,1.0,1.0,0.0,0.0,IT,Wind_Offshore,41.8719,12.5674
IT_Solar,producer,,none,52000.0,1.0,1.0,0.0,0.0,IT,Solar,41.8719,12.5674
IT_Hydro,producer,,none,6180.0,1.0,1.0,0.0,0.0,IT,Hydro,41.8719,12.5674
IT_Gas,producer,,none,40467.0,1.0,1.0,0.0,0.0,IT,Gas,41.8719,12.5674
IT_OCGT,producer,,none,3429.0,1.0,1.0,0.0,0.0,IT,OCGT,41.8719,12.5674
MT_E_ENS,producer,,none,552.0,1.0,1.0,0.0,0.0,MT,E_ENS,35.9375,14.3754
MT_Solar,producer,,none,266.0,1.0,1.0,0.0,0.0,MT,Solar,35.9375,14.3754
MT_Gas,producer,,none,486.0,1.0,1.0,0.0,0.0,MT,Gas,35.9375,14.3754
SI_E_ENS,producer,,none,2448.0,1.0,1.0,0.0,0.0,SI,E_ENS,46.1512,14.9955
SI_Wind_Onshore,producer,,none,150.0,1.0,1.0,0.0,0.0,SI,Wind_Onshore,46.1512,14.9955
SI_Solar,producer,,none,1866.0,1.0,1.0,0.0,0.0,SI,Solar,46.1512,14.9955
SI_Hydro,producer,,none,1278.0,1.0,1.0,0.0,0.0,SI,Hydro,46.1512,14.9955
SI_Nuclear,producer,,none,703.0,1.0,1.0,0.0,0.0,SI,Nuclear,46.1512,14.9955
SI_Coal,producer,,none,584.0,1.0,1.0,0.0,0.0,SI,Coal,46.1512,14.9955
SI_Gas,producer,,none,445.0,1.0,1.0,0.0,0.0,SI,Gas,46.1512,14.9955
SI_OCGT,producer,,none,331.0,1.0,1.0,0.0,0.0,SI,OCGT,46.1512,14.9955
HU_E_ENS,producer,,none,10349.0,1.0,1.0,0.0,0.0,HU,E_ENS,47.1625,19.5033
HU_Wind_Onshore,producer,,none,326.0,1.0,1.0,0.0,0.0,HU,Wind_Onshore,47.1625,19.5033
HU_Solar,producer,,none,6454.0,1.0,1.0,0.0,0.0,HU,Solar,47.1625,19.5033
HU_Hydro,producer,,none,55.0,1.0,1.0,0.0,0.0,HU,Hydro,47.1625,19.5033
HU_Nuclear,producer,,none,3080.0,1.0,1.0,0.0,0.0,HU,Nuclear,47.1625,19.5033
HU_Gas,producer,,none,2399.0,1.0,1.0,0.0,0.0,HU,Gas,47.1625,19.5033
HU_OCGT,producer,,none,270.0,1.0,1.0,0.0,0.0,HU,OCGT,47.1625,19.5033
SK_E_ENS,producer,,none,1056.0,1.0,1.0,0.0,0.0,SK,E_ENS,48.669,19.699
SK_Wind_Onshore,producer,,none,495.0,1.0,1.0,0.0,0.0,SK,Wind_Onshore,48.669,19.699
SK_Solar,producer,,none,1188.0,1.0,1.0,0.0,0.0,SK,Solar,48.669,19.699
SK_Hydro,producer,,none,1592.0,1.0,1.0,0.0,0.0,SK,Hydro,48.669,19.699
SK_Nuclear,producer,,none,2674.0,1.0,1.0,0.0,0.0,SK,Nuclear,48.669,19.699
