,,,p.u.
profile_name,year,period,value
FR_Hydro_Reservoir_Min_Storage_Level,2050,46,0.4939999999999999
FR_Hydro_Reservoir_Min_Storage_Level,2050,47,0.46099999999999886
FR_Hydro_Reservoir_Min_Storage_Level,2050,48,0.4290000000000009
FR_Hydro_Reservoir_Min_Storage_Level,2050,49,0.4010000000000013
FR_Hydro_Reservoir_Min_Storage_Level,2050,50,0.3810000000000001
FR_Hydro_Reservoir_Min_Storage_Level,2050,51,0.3609999999999989
FR_Hydro_Reservoir_Min_Storage_Level,2050,52,0.3400000000000014
FR_Hydro_Reservoir_Min_Storage_Level,2050,53,0.3399999999999999
FI_Hydro_Reservoir_Min_Storage_Level,2050,1,0.339059675000001
FI_Hydro_Reservoir_Min_Storage_Level,2050,2,0.3309222419999998
FI_Hydro_Reservoir_Min_Storage_Level,2050,3,0.31898734199999984
FI_Hydro_Reservoir_Min_Storage_Level,2050,4,0.3059674499999992
FI_Hydro_Reservoir_Min_Storage_Level,2050,5,0.29891500899999984
FI_Hydro_Reservoir_Min_Storage_Level,2050,6,0.29095840899999986
FI_Hydro_Reservoir_Min_Storage_Level,2050,7,0.2679927670000006
FI_Hydro_Reservoir_Min_Storage_Level,2050,8,0.24394213400000042
FI_Hydro_Reservoir_Min_Storage_Level,2050,9,0.2209764919999991
FI_Hydro_Reservoir_Min_Storage_Level,2050,10,0.20307414099999938
FI_Hydro_Reservoir_Min_Storage_Level,2050,11,0.19005424999999954
FI_Hydro_Reservoir_Min_Storage_Level,2050,12,0.1699819170000004
FI_Hydro_Reservoir_Min_Storage_Level,2050,13,0.15099457499999963
FI_Hydro_Reservoir_Min_Storage_Level,2050,14,0.13399638299999975
FI_Hydro_Reservoir_Min_Storage_Level,2050,15,0.13200723299999975
FI_Hydro_Reservoir_Min_Storage_Level,2050,16,0.13905967499999974
FI_Hydro_Reservoir_Min_Storage_Level,2050,17,0.1450271249999997
FI_Hydro_Reservoir_Min_Storage_Level,2050,18,0.15009041600000028
FI_Hydro_Reservoir_Min_Storage_Level,2050,19,0.1600361660000003
FI_Hydro_Reservoir_Min_Storage_Level,2050,20,0.23996383400000043
FI_Hydro_Reservoir_Min_Storage_Level,2050,21,0.36401446699999873
FI_Hydro_Reservoir_Min_Storage_Level,2050,22,0.3849909580000014
FI_Hydro_Reservoir_Min_Storage_Level,2050,23,0.3900542499999992
FI_Hydro_Reservoir_Min_Storage_Level,2050,24,0.3969258589999999
FI_Hydro_Reservoir_Min_Storage_Level,2050,25,0.3900542499999992
FI_Hydro_Reservoir_Min_Storage_Level,2050,26,0.3869801080000014
FI_Hydro_Reservoir_Min_Storage_Level,2050,27,0.3770343580000014
FI_Hydro_Reservoir_Min_Storage_Level,2050,28,0.37594936699999865
FI_Hydro_Reservoir_Min_Storage_Level,2050,29,0.37594936699999865
FI_Hydro_Reservoir_Min_Storage_Level,2050,30,0.36799276699999867
FI_Hydro_Reservoir_Min_Storage_Level,2050,31,0.35895117500000095
FI_Hydro_Reservoir_Min_Storage_Level,2050,32,0.34792043400000083
FI_Hydro_Reservoir_Min_Storage_Level,2050,33,0.3399638340000008
FI_Hydro_Reservoir_Min_Storage_Level,2050,34,0.339059675000001
FI_Hydro_Reservoir_Min_Storage_Level,2050,35,0.347016275000001
FI_Hydro_Reservoir_Min_Storage_Level,2050,36,0.34792043400000083
FI_Hydro_Reservoir_Min_Storage_Level,2050,37,0.350994575000001
FI_Hydro_Reservoir_Min_Storage_Level,2050,38,0.36292947599999936
FI_Hydro_Reservoir_Min_Storage_Level,2050,39,0.3660036169999987
